case,role,altitude_km,inside_R,outside_inner_R,outside_outer_R,radius_scale,inside_nT,outside_nT,ratio,matched_ratio,common_support_fraction
Copernicus,Primary crater case,400,0.8,1.5,2.5,1.1,53.87283028018475,82.51222102481047,0.6529072858672149,0.7222113105708693,0.9362506906442315
Copernicus,Primary crater case,400,1.0,1.2,1.8,0.9,54.47972550379353,65.23311390283551,0.8351544521535624,0.8180448941027613,1.0
Copernicus,Primary crater case,400,1.0,1.2,1.8,1.0,54.99539195606781,68.1870520508278,0.8065371694771802,0.8163215157947524,1.0
Copernicus,Primary crater case,400,1.0,1.2,1.8,1.1,55.60639394362907,71.02315597279886,0.7829333008649425,0.7867497595286134,1.0
Copernicus,Primary crater case,400,1.0,1.2,2.0,0.9,54.47972550379353,67.4402231842803,0.8078224378784716,0.8208587846157365,1.0
Copernicus,Primary crater case,400,1.0,1.2,2.0,1.0,54.99539195606781,70.51372148308397,0.7799246841518788,0.8088259975795005,1.0
Copernicus,Primary crater case,400,1.0,1.2,2.0,1.1,55.60639394362907,73.50974140937458,0.7564493205595425,0.7673289178149945,1.0
Copernicus,Primary crater case,400,1.0,1.5,2.5,0.9,54.47972550379353,74.31100074515982,0.7331313662512077,0.8036110145826652,1.0
Copernicus,Primary crater case,400,1.0,1.5,2.5,1.0,54.99539195606781,78.57875204715273,0.6998761182038974,0.7504998206167361,0.9174918980685631
Copernicus,Primary crater case,400,1.0,1.5,2.5,1.1,55.60639394362907,82.51222102481047,0.6739170665022927,0.6989880878388425,0.9052856554019465
Huygens,Primary crater case,130,0.6,1.2,1.8,0.9,21.789828283874655,64.24708028540829,0.33915670855510505,0.23204510409686094,1.0
Huygens,Primary crater case,130,0.6,1.2,1.8,1.0,22.931195827619213,66.83895306811978,0.34308131374003703,0.25819955014162904,1.0
Huygens,Primary crater case,130,0.6,1.2,1.8,1.1,24.149979967774996,69.80064733807718,0.34598504295820276,0.2767439053731643,0.9999999999999997
Huygens,Primary crater case,130,0.6,1.2,2.0,0.9,21.789828283874655,65.12019460571577,0.3346093852422564,0.23876041906309473,1.0
Huygens,Primary crater case,130,0.6,1.2,2.0,1.0,22.931195827619213,69.32403667461541,0.33078275483654856,0.25938448892513305,1.0
Huygens,Primary crater case,130,0.6,1.2,2.0,1.1,24.149979967774996,73.0313791614608,0.3306795003060701,0.29207366649653177,0.9999999999999997
Huygens,Primary crater case,130,0.6,1.5,2.5,0.9,21.789828283874655,74.4886430116678,0.2925255099688355,0.2640848424683054,1.0
Huygens,Primary crater case,130,0.6,1.5,2.5,1.0,22.931195827619213,82.90166351450767,0.2766071856158385,0.2939776066875097,1.0
Huygens,Primary crater case,130,0.6,1.5,2.5,1.1,24.149979967774996,92.07690326032439,0.2622805406421736,0.3011550804660467,0.9999999999999997
Huygens,Primary crater case,130,0.8,1.2,1.8,0.9,26.241860264660758,64.24708028540829,0.40845218410058665,0.30626604302220806,1.0
